Step,nbafl,adaclip1,fixdps,mapas
359,0.064904397,0.253042334,0.4615667,0.079775245
660,0.064904397,0.521277862,0.538909641,0.079775245
961,0.087165238,0.372764292,0.614013122,0.079775245
1262,0.079434234,0.515935038,0.593249304,0.079775245
1563,0.081382635,0.536455904,0.66781701,0.107491361
1864,0.123462118,0.651269107,0.715339182,0.134229627
2165,0.169107164,0.674210499,0.703938112,0.101411444
2466,0.174287753,0.688758248,0.734996199,0.110915505
2767,0.22749449,0.699305366,0.737712257,0.176279927
3068,0.335388448,0.70547583,0.73394681,0.269874225
3369,0.358807899,0.739313202,0.773976902,0.437839496
3670,0.343747388,0.721165124,0.779713418,0.597587997
3971,0.393456845,0.720913992,0.787091963,0.640632295
4272,0.397538043,0.735507043,0.774385546,0.668500943
4573,0.457259281,0.729236638,0.757427642,0.702567259
4874,0.3205637,0.742478663,0.755254716,0.727891609
5175,0.357277114,0.7611026,0.794102436,0.718520622
5476,0.483925174,0.787627925,0.715518314,0.723272944
5777,0.439134231,0.785203338,0.797534654,0.73987126
6078,0.545994964,0.778563116,0.785152258,0.737377323
6379,0.557134371,0.786765343,0.79486655,0.751295462
6680,0.578782607,0.798815509,0.798939572,0.733051271
6981,0.550444792,0.797416773,0.805609746,0.745370754
7282,0.504557117,0.78905676,0.782521902,0.747614691
7583,0.552015741,0.799643954,0.77844338,0.751755773
7884,0.545901381,0.803668087,0.794160815,0.744869937
8185,0.610966467,0.792865207,0.79032785,0.749518114
8486,0.635691384,0.810983724,0.752256565,0.746385589
8787,0.535036439,0.803511897,0.796830922,0.748385288
9088,0.588631488,0.798430557,0.790238712,0.753222276
9389,0.600216664,0.798431101,0.812265595,0.754291721
9690,0.573780687,0.810379468,0.753045511,0.745712229
9991,0.617966139,0.773236785,0.786387509,0.757912292
10292,0.633672153,0.800368989,0.768137677,0.749847033
10593,0.622087054,0.821374116,0.762418416,0.758985176
10894,0.606909718,0.794161124,0.792107194,0.7505701
11195,0.586612638,0.803940571,0.806699056,0.758240422
11496,0.6110692,0.811127847,0.813345197,0.755728597
11797,0.629541386,0.823155033,0.784187002,0.758875527
12098,0.615507131,0.809646544,0.78927914,0.74849865
12399,0.66124982,0.813090343,0.794969547,0.76034503
12700,0.65674005,0.816853253,0.811725415,0.761989638
13001,0.656020551,0.825333473,0.800505611,0.760917304
13302,0.655501967,0.81743219,0.792669825,0.76522242
13603,0.659603995,0.831199796,0.800939969,0.768676807
13904,0.643115982,0.807414551,0.791200064,0.768725243
14205,0.639405037,0.824877781,0.820471502,0.772346613
14506,0.636837798,0.806626051,0.808962329,0.764445019
14807,0.64537107,0.807074132,0.799121245,0.774001669
15108,0.646054314,0.805962638,0.791008515,0.765744651
15409,0.575330709,0.816585908,0.797079939,0.771524846
15710,0.651728206,0.807655439,0.809892702,0.776122799
16011,0.666553165,0.806494157,0.811512585,0.770370195
16312,0.673085199,0.793457855,0.790764705,0.765380945
16613,0.6202405,0.785763742,0.804164981,0.773996466
16914,0.665960611,0.81074763,0.811941411,0.78628411
17215,0.656784278,0.806204698,0.745748807,0.786039872
17516,0.668394238,0.810205136,0.811187402,0.776967528
17817,0.656973323,0.831100581,0.804683781,0.78121531